path,ref_date,sec_date,bperp_signed_m,bperp_abs_m
150,20071216,20080131,-469.583,469.583
150,20080131,20080317,-243.225,243.225
150,20080317,20080502,207.569,207.569
150,20080502,20080917,2743.607,2743.607
150,20080917,20090202,-772.997,772.997
150,20090202,20090320,1121.589,1121.589
150,20090320,20091221,-2228.123,2228.123
150,20091221,20100323,929.495,929.495
150,20100323,20100508,-1846.968,1846.968
150,20100508,20100623,1785.942,1785.942
150,20100623,20100808,-2136.040,2136.040
150,20100808,20100923,2017.726,2017.726
150,20100923,20101108,-1184.877,1184.877
150,20101108,20101224,-1096.878,1096.878
150,20101224,20110208,-418.858,418.858
